lambda_um,n,k
4.298191,1.454669,0.00017738
4.319749,1.454077,0.00018728
4.341307,1.453484,0.00019741
4.362864,1.452886,0.00020755
4.384422,1.452288,0.00021768
4.40598,1.451684,0.00022937
4.427538,1.45108,0.0002451
4.449095,1.45047,0.00026084
4.470653,1.44986,0.00027658
4.492211,1.449245,0.00029231
4.513769,1.448629,0.00035941
4.535327,1.448007,0.00045556
4.556884,1.447386,0.0005517
4.578442,1.446759,0.00064785
4.6,1.446131,0.000744
5,1.397,0.003
6,1.323,0.005
7,1.152,0.008
8,0.939,0.028
8.2,0.822,0.061
8.4,0.624,0.216
8.5,0.613,0.354
8.7,0.684,0.543
9,0.736,0.759
9.2,0.812,0.938
9.4,0.971,1.123
9.5,1.085,1.187
9.6,1.209,1.232
9.8,1.479,1.24
10,1.707,1.123
10.5,1.956,0.809
11,1.994,0.485
11.5,1.864,0.286
12,1.733,0.222
12.5,1.612,0.244
13,1.606,0.306
13.5,1.615,0.304
14,1.615,0.28
14.5,1.558,0.269
15,1.554,0.299
15.5,1.546,0.288
16,1.511,0.278
16.5,1.468,0.288
17,1.433,0.309
17.5,1.401,0.322
18,1.328,0.329
18.5,1.216,0.382
19,1.108,0.521
19.5,1.069,0.76
20,1.177,0.966
21,1.519,1.223
22,1.931,1.216
23,2.196,0.988
24,2.263,0.746
25,2.223,0.582
27,2.139,0.462
30,2.035,0.381
35,1.96,0.421
40,1.969,0.487
45,2.033,0.538
50,2.099,0.545
60,2.199,0.536
70,2.274,0.515
80,2.333,0.493
90,2.384,0.47
100,2.426,0.445
150,2.547,0.326
200,2.592,0.242
300,2.608,0.152
